,ImageID,concept,category,mask_type,mask_path
0,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_11s.jpg,cheese,food,1_natural,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/flamingo/flamingo_20s.jpg
1,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_11s.jpg,cheese,food,2_scrambled,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/2_scrambled/banana/banana_12s_p1.png
2,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_11s.jpg,cheese,food,4_geometric,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/4_geometric/geometric_0_d300.png
3,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_11s.jpg,cheese,food,5_lines,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/5_lines/lines_11_d300.png
4,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_11s.jpg,cheese,food,6_blocked,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/6_blocked/cheese/blocked_7_b4.png
5,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_11s.jpg,cheese,food,no_mask,no_mask
6,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_01b.jpg,cheese,food,1_natural,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/hat/hat_01b.jpg
7,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_01b.jpg,cheese,food,2_scrambled,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/2_scrambled/nose/nose_10s_p1.png
8,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_01b.jpg,cheese,food,4_geometric,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/4_geometric/geometric_5_d300.png
9,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_01b.jpg,cheese,food,5_lines,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/5_lines/lines_9_d300.png
10,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_01b.jpg,cheese,food,6_blocked,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/6_blocked/cheese/blocked_3_b4.png
11,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_01b.jpg,cheese,food,no_mask,no_mask
12,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_08s.jpg,cheese,food,1_natural,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/gun/gun_03s.jpg
13,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_08s.jpg,cheese,food,2_scrambled,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/2_scrambled/bandage/bandage_06s_p1.png
14,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_08s.jpg,cheese,food,4_geometric,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/4_geometric/geometric_9_d300.png
15,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_08s.jpg,cheese,food,5_lines,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/5_lines/lines_17_d300.png
16,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_08s.jpg,cheese,food,6_blocked,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/6_blocked/cheese/blocked_3_b4.png
17,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_08s.jpg,cheese,food,no_mask,no_mask
18,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_05n.jpg,cheese,food,1_natural,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/apple/apple_10s.jpg
19,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_05n.jpg,cheese,food,2_scrambled,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/2_scrambled/hockey_stick/hockey_stick_05s_p1.png
20,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_05n.jpg,cheese,food,4_geometric,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/4_geometric/geometric_18_d300.png
21,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_05n.jpg,cheese,food,5_lines,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/5_lines/lines_13_d300.png
22,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_05n.jpg,cheese,food,6_blocked,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/6_blocked/cheese/blocked_3_b4.png
23,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_05n.jpg,cheese,food,no_mask,no_mask
24,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_14n.jpg,cheese,food,1_natural,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/duck/duck_06s.jpg
25,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_14n.jpg,cheese,food,2_scrambled,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/2_scrambled/wine/wine_08s_p1.png
26,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_14n.jpg,cheese,food,4_geometric,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/4_geometric/geometric_11_d300.png
27,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_14n.jpg,cheese,food,5_lines,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/5_lines/lines_2_d300.png
28,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_14n.jpg,cheese,food,6_blocked,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/6_blocked/cheese/blocked_0_b4.png
29,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_14n.jpg,cheese,food,no_mask,no_mask
30,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,1_natural,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/bucket/bucket_10s.jpg
31,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,2_scrambled,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/2_scrambled/chocolate/chocolate_14n_p1.png
32,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,4_geometric,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/4_geometric/geometric_14_d300.png
33,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,5_lines,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/5_lines/lines_6_d300.png
34,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,6_blocked,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/6_blocked/cheese/blocked_4_b4.png
35,/Users/AnneZonneveld/Documents/STAGE/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,no_mask,no_mask
