,mask_name,0_0,0_1,0_2,0_3,1_0,1_1,1_2,1_3,2_0,2_1,2_2,2_3,3_0,3_1,3_2,3_3
0,blocked_0_b4.png,piano/piano_11n.jpg,stapler/stapler_04s.jpg,gun/gun_09s.jpg,basketball/basketball_13s.jpg,flamingo/flamingo_04s.jpg,refrigerator/refrigerator_10s.jpg,banana/banana_06s.jpg,basketball/basketball_12s.jpg,duck/duck_06s.jpg,sword/sword_09s.jpg,refrigerator/refrigerator_03s.jpg,yo-yo/yo-yo_12s.jpg,refrigerator/refrigerator_12s.jpg,overalls/overalls_10s.jpg,wheelchair/wheelchair_12n.jpg,cheese/cheese_12s.jpg
0,blocked_1_b4.png,corkscrew/corkscrew_03s.jpg,paperclip/paperclip_04s.jpg,wheel/wheel_09s.jpg,chocolate/chocolate_12s.jpg,bucket/bucket_02n.jpg,flamingo/flamingo_12s.jpg,wasp/wasp_11s.jpg,paperclip/paperclip_02s.jpg,pizza/pizza_02s.jpg,corkscrew/corkscrew_02s.jpg,basketball/basketball_08s.jpg,cactus/cactus_03s.jpg,butterfly/butterfly_06s.jpg,bandage/bandage_12s.jpg,refrigerator/refrigerator_05s.jpg,car/car_07s.jpg
0,blocked_2_b4.png,nose/nose_08s.jpg,basketball/basketball_08s.jpg,wasp/wasp_09n.jpg,overalls/overalls_08s.jpg,pizza/pizza_12s.jpg,table/table_05s.jpg,wine/wine_13s.jpg,guitar/guitar_10s.jpg,bandage/bandage_05s.jpg,butterfly/butterfly_04s.jpg,car/car_12s.jpg,ladder/ladder_01b.jpg,tree/tree_11s.jpg,refrigerator/refrigerator_11s.jpg,carrot/carrot_05s.jpg,wasp/wasp_08s.jpg
0,blocked_3_b4.png,box/box_09s.jpg,wasp/wasp_12s.jpg,sword/sword_04s.jpg,piano/piano_02n.jpg,coffee/coffee_11s.jpg,gun/gun_10s.jpg,scarf/scarf_07s.jpg,sword/sword_05s.jpg,apple/apple_06s.jpg,piano/piano_03n.jpg,microwave/microwave_06s.jpg,hat/hat_04s.jpg,gun/gun_12s.jpg,television/television_08s.jpg,cactus/cactus_10s.jpg,tree/tree_11s.jpg
0,blocked_4_b4.png,scarf/scarf_09s.jpg,computer/computer_10n.jpg,gun/gun_01b.jpg,ear/ear_06s.jpg,wine/wine_09s.jpg,banana/banana_07s.jpg,wheelchair/wheelchair_02s.jpg,refrigerator/refrigerator_05s.jpg,car/car_09s.jpg,gun/gun_03s.jpg,cheese/cheese_09s.jpg,ear/ear_04s.jpg,flamingo/flamingo_12s.jpg,screwdriver/screwdriver_08s.jpg,banana/banana_01b.jpg,microwave/microwave_12s.jpg
0,blocked_5_b4.png,bucket/bucket_07s.jpg,license_plate/license_plate_05s.jpg,cheese/cheese_03s.jpg,dog/dog_03s.jpg,ear/ear_05s.jpg,coffee/coffee_01b.jpg,skirt/skirt_10s.jpg,pillow/pillow_07s.jpg,paperclip/paperclip_03s.jpg,wine/wine_02s.jpg,television/television_06s.jpg,bandage/bandage_06s.jpg,yo-yo/yo-yo_06s.jpg,basketball/basketball_11s.jpg,bucket/bucket_02n.jpg,license_plate/license_plate_09s.jpg
0,blocked_6_b4.png,chocolate/chocolate_06s.jpg,scarf/scarf_09s.jpg,refrigerator/refrigerator_05s.jpg,duck/duck_02s.jpg,wine/wine_14s.jpg,basketball/basketball_08s.jpg,dog/dog_05s.jpg,coffee/coffee_15s.jpg,car/car_03s.jpg,coffee/coffee_09s.jpg,bandage/bandage_03s.jpg,guitar/guitar_14s.jpg,motorcycle/motorcycle_11s.jpg,cow/cow_15n.jpg,paperclip/paperclip_10s.jpg,wheelchair/wheelchair_09n.jpg
0,blocked_7_b4.png,cow/cow_02s.jpg,car/car_04s.jpg,gun/gun_12s.jpg,chocolate/chocolate_03s.jpg,overalls/overalls_11s.jpg,hat/hat_09s.jpg,wine/wine_20s.jpg,refrigerator/refrigerator_02s.jpg,nose/nose_02s.jpg,robot/robot_12s.jpg,tree/tree_03s.jpg,broccoli/broccoli_03s.jpg,nose/nose_09s.jpg,carrot/carrot_04n.jpg,sword/sword_06s.jpg,ear/ear_08s.jpg
0,blocked_8_b4.png,screwdriver/screwdriver_12s.jpg,motorcycle/motorcycle_04s.jpg,apple/apple_05s.jpg,motorcycle/motorcycle_06s.jpg,sword/sword_04s.jpg,television/television_07s.jpg,piano/piano_07n.jpg,bandage/bandage_12s.jpg,flamingo/flamingo_11s.jpg,microwave/microwave_05s.jpg,flamingo/flamingo_15s.jpg,yo-yo/yo-yo_12s.jpg,guitar/guitar_08s.jpg,ladder/ladder_01b.jpg,butterfly/butterfly_14n.jpg,wine/wine_21s.jpg
0,blocked_9_b4.png,nose/nose_12s.jpg,car/car_11s.jpg,computer/computer_04s.jpg,bandage/bandage_11s.jpg,television/television_09s.jpg,tree/tree_12s.jpg,duck/duck_03s.jpg,flamingo/flamingo_19s.jpg,skirt/skirt_12s.jpg,car/car_03s.jpg,microwave/microwave_10s.jpg,chair/chair_09s.jpg,cheese/cheese_11s.jpg,flamingo/flamingo_04s.jpg,chair/chair_10s.jpg,pillow/pillow_03s.jpg
