,mask_name,0_0,0_1,0_2,0_3,1_0,1_1,1_2,1_3,2_0,2_1,2_2,2_3,3_0,3_1,3_2,3_3
0,blocked_0_b4.png,wasp/wasp_09n.jpg,cow/cow_13n.jpg,screwdriver/screwdriver_04s.jpg,cheese/cheese_09s.jpg,coffee/coffee_10s.jpg,hat/hat_15s.jpg,overalls/overalls_09s.jpg,wine/wine_06s.jpg,banana/banana_05s.jpg,broccoli/broccoli_10s.jpg,knife/knife_08s.jpg,duck/duck_06s.jpg,basketball/basketball_03s.jpg,box/box_07s.jpg,box/box_05s.jpg,overalls/overalls_11s.jpg
0,blocked_1_b4.png,microwave/microwave_12s.jpg,wasp/wasp_05s.jpg,refrigerator/refrigerator_01b.jpg,hat/hat_12s.jpg,banana/banana_07s.jpg,flamingo/flamingo_07s.jpg,motorcycle/motorcycle_01b.jpg,refrigerator/refrigerator_05s.jpg,paperclip/paperclip_05s.jpg,car/car_09s.jpg,chair/chair_07s.jpg,apple/apple_04s.jpg,butterfly/butterfly_01b.jpg,box/box_12s.jpg,flamingo/flamingo_19s.jpg,robot/robot_04s.jpg
0,blocked_2_b4.png,broccoli/broccoli_03s.jpg,stapler/stapler_06s.jpg,candle/candle_07n.jpg,knife/knife_06s.jpg,candle/candle_04n.jpg,cheese/cheese_05n.jpg,wasp/wasp_06s.jpg,pillow/pillow_06s.jpg,cow/cow_11s.jpg,dog/dog_04s.jpg,television/television_12s.jpg,pillow/pillow_12s.jpg,candle/candle_07n.jpg,cow/cow_11s.jpg,wine/wine_23s.jpg,bandage/bandage_11s.jpg
0,blocked_3_b4.png,cow/cow_06n.jpg,broccoli/broccoli_05s.jpg,cheese/cheese_11s.jpg,guitar/guitar_01b.jpg,basketball/basketball_09s.jpg,wheel/wheel_07s.jpg,coffee/coffee_08s.jpg,box/box_06s.jpg,ear/ear_01b.jpg,banana/banana_10s.jpg,hat/hat_08s.jpg,piano/piano_01b.jpg,ice_cream/ice_cream_03s.jpg,hockey_stick/hockey_stick_05s.jpg,piano/piano_01b.jpg,robot/robot_05s.jpg
0,blocked_4_b4.png,hat/hat_07s.jpg,overalls/overalls_08s.jpg,chair/chair_10s.jpg,cheese/cheese_14n.jpg,wheel/wheel_09s.jpg,bandage/bandage_02s.jpg,apple/apple_04s.jpg,flamingo/flamingo_20s.jpg,wine/wine_20s.jpg,wasp/wasp_07s.jpg,ear/ear_05s.jpg,bucket/bucket_10s.jpg,carrot/carrot_10n.jpg,banana/banana_04s.jpg,screwdriver/screwdriver_01s.jpg,basketball/basketball_07s.jpg
0,blocked_5_b4.png,carrot/carrot_08n.jpg,wheel/wheel_03s.jpg,hockey_stick/hockey_stick_12s.jpg,skirt/skirt_03s.jpg,butterfly/butterfly_12n.jpg,guitar/guitar_07s.jpg,screwdriver/screwdriver_15n.jpg,duck/duck_10s.jpg,scarf/scarf_03s.jpg,ice_cream/ice_cream_10s.jpg,sword/sword_03s.jpg,flamingo/flamingo_10s.jpg,television/television_01b.jpg,license_plate/license_plate_05s.jpg,flamingo/flamingo_05s.jpg,apple/apple_09s.jpg
0,blocked_6_b4.png,gun/gun_07n.jpg,hockey_stick/hockey_stick_03s.jpg,screwdriver/screwdriver_10s.jpg,flamingo/flamingo_17s.jpg,basketball/basketball_03s.jpg,wheelchair/wheelchair_12n.jpg,duck/duck_02s.jpg,gun/gun_01b.jpg,wheel/wheel_10s.jpg,box/box_06s.jpg,chair/chair_11s.jpg,ladder/ladder_12s.jpg,bucket/bucket_01b.jpg,nose/nose_10s.jpg,table/table_04s.jpg,dog/dog_12s.jpg
0,blocked_7_b4.png,flamingo/flamingo_16s.jpg,duck/duck_09s.jpg,broccoli/broccoli_12s.jpg,wasp/wasp_15n.jpg,skirt/skirt_01b.jpg,tree/tree_12s.jpg,sword/sword_14s.jpg,carrot/carrot_11s.jpg,chair/chair_04s.jpg,yo-yo/yo-yo_12s.jpg,wheel/wheel_06s.jpg,ladder/ladder_01b.jpg,microwave/microwave_09s.jpg,banana/banana_06s.jpg,ear/ear_05s.jpg,banana/banana_06s.jpg
0,blocked_8_b4.png,dog/dog_06s.jpg,refrigerator/refrigerator_11s.jpg,wasp/wasp_04s.jpg,wine/wine_19s.jpg,microwave/microwave_02s.jpg,ladder/ladder_05s.jpg,pillow/pillow_03s.jpg,wine/wine_04s.jpg,hockey_stick/hockey_stick_03s.jpg,robot/robot_12s.jpg,cactus/cactus_11s.jpg,guitar/guitar_13s.jpg,knife/knife_10s.jpg,wasp/wasp_04s.jpg,chocolate/chocolate_08s.jpg,chocolate/chocolate_13s.jpg
0,blocked_9_b4.png,carrot/carrot_02s.jpg,knife/knife_10s.jpg,wine/wine_04s.jpg,wheel/wheel_05s.jpg,skirt/skirt_15s.jpg,stapler/stapler_03s.jpg,yo-yo/yo-yo_07s.jpg,sword/sword_08s.jpg,car/car_08s.jpg,hockey_stick/hockey_stick_05s.jpg,cow/cow_16n.jpg,coffee/coffee_14s.jpg,television/television_04s.jpg,tree/tree_10s.jpg,skirt/skirt_06s.jpg,scarf/scarf_16s.jpg
